data;dia;fluxo
05/03/03;qua;16818,0356
06/03/03;qui;17884,08014
07/03/03;sex;18069,20611
08/03/03;sab;16694,49472
09/03/03;dom;15363,6372
10/03/03;seg;18072,42344
11/03/03;ter;18650,76575
12/03/03;qua;18709,74857
13/03/03;qui;18175,93754
14/03/03;sex;18089,94154
15/03/03;sab;16479,6212
16/03/03;dom;15322,66276
17/03/03;seg;17957,25002
18/03/03;ter;18378,339
19/03/03;qua;18408,21482
20/03/03;qui;18884,12993
21/03/03;sex;18879,86789
22/03/03;sab;16716,11225
23/03/03;dom;15027,04713
24/03/03;seg;18611,8865
25/03/03;ter;18815,21446
26/03/03;qua;18426,9973
27/03/03;qui;18613,51826
28/03/03;sex;18644,82954
29/03/03;sab;17069,27613
30/03/03;dom;15568,49883
31/03/03;seg;18261,59379
01/04/03;ter;18724,54984
02/04/03;qua;18437,96791
03/04/03;qui;18629,89651
04/04/03;sex;18730,46488
05/04/03;sab;17218,94291
06/04/03;dom;15515,62417
07/04/03;seg;18413,93941
08/04/03;ter;18982,49257
09/04/03;qua;18892,85485
10/04/03;qui;18825,44097
11/04/03;sex;18988,50682
12/04/03;sab;17617,03706
13/04/03;dom;16101,41738
14/04/03;seg;18830,53706
15/04/03;ter;18730,57718
16/04/03;qua;18941,89292
17/04/03;qui;18174,46858
18/04/03;sex;15244,6602
19/04/03;sab;16307,03695
20/04/03;dom;15481,18001
21/04/03;seg;16111,94546
22/04/03;ter;19164,24555
23/04/03;qua;19062,61118
24/04/03;qui;18994,83273
25/04/03;sex;18951,03406
26/04/03;sab;17096,55796
27/04/03;dom;15783,81065
28/04/03;seg;18529,07461
29/04/03;ter;19188,88568
30/04/03;qua;19229,93257
01/05/03;qui;16138,41934
02/05/03;sex;18319,97414
03/05/03;sab;17250,16164
04/05/03;dom;15872,72591
05/05/03;seg;18369,08122
06/05/03;ter;18583,27595
07/05/03;qua;19072,5042
08/05/03;qui;19661,10012
09/05/03;sex;19681,76675
10/05/03;sab;17879,69279
11/05/03;dom;16095,22304
12/05/03;seg;19194,23389
13/05/03;ter;19154,55096
14/05/03;qua;19318,07111
15/05/03;qui;19167,20045
16/05/03;sex;19044,4734
17/05/03;sab;17515,54006
18/05/03;dom;15969,79075
19/05/03;seg;19143,49716
20/05/03;ter;19523,14237
21/05/03;qua;19503,23
22/05/03;qui;19738,18914
23/05/03;sex;19925,84212
24/05/03;sab;18303,39881
25/05/03;dom;16640,31268
26/05/03;seg;19691,99342
27/05/03;ter;19731,13019
28/05/03;qua;19621,32909
29/05/03;qui;19730,50002
30/05/03;sex;19637,02315
31/05/03;sab;17701,66176
01/06/03;dom;16224,47733
02/06/03;seg;19211,75671
03/06/03;ter;19691,60381
04/06/03;qua;19845,45327
05/06/03;qui;19708,07507
06/06/03;sex;19685,63145
07/06/03;sab;18210,61348
08/06/03;dom;16507,87037
09/06/03;seg;19450,84356
10/06/03;ter;19904,4052
11/06/03;qua;19950,88408
12/06/03;qui;20078,16354
13/06/03;sex;19798,32025
14/06/03;sab;18178,6387
15/06/03;dom;16529,88875
16/06/03;seg;19422,96984
17/06/03;ter;19298,34498
18/06/03;qua;19435,89199
19/06/03;qui;16760,87377
20/06/03;sex;19391,34891
21/06/03;sab;17954,3998
22/06/03;dom;16239,21386
23/06/03;seg;19423,98197
24/06/03;ter;19759,00223
25/06/03;qua;19956,32082
26/06/03;qui;20101,35077
27/06/03;sex;20004,65358
28/06/03;sab;18225,77503
29/06/03;dom;16524,56087
30/06/03;seg;19613,50664
01/07/03;ter;19957,489
02/07/03;qua;19152,81127
03/07/03;qui;19225,9615
04/07/03;sex;19191,49757
05/07/03;sab;17646,90827
06/07/03;dom;16125,60482
07/07/03;seg;19170,57946
08/07/03;ter;19525,3292
09/07/03;qua;19693,71915
10/07/03;qui;19823,29948
11/07/03;sex;19366,42649
12/07/03;sab;17685,52343
13/07/03;dom;16270,9651
14/07/03;seg;19240,03068
15/07/03;ter;19419,14538
16/07/03;qua;19676,8402
17/07/03;qui;19790,33328
18/07/03;sex;19510,65102
19/07/03;sab;17728,65063
20/07/03;dom;16190,17668
21/07/03;seg;19310,97353
22/07/03;ter;19576,18934
23/07/03;qua;19711,36975
24/07/03;qui;19776,93138
25/07/03;sex;19544,46241
26/07/03;sab;17623,72232
27/07/03;dom;15720,18091
28/07/03;seg;18936,24442
29/07/03;ter;19676,55619
30/07/03;qua;19900,00869
31/07/03;qui;19952,35975
01/08/03;sex;19904,09363
02/08/03;sab;18319,29692
03/08/03;dom;16660,08557
04/08/03;seg;19651,79075
05/08/03;ter;20062,38933
06/08/03;qua;20271,46728
07/08/03;qui;20392,70044
08/08/03;sex;20137,72042
09/08/03;sab;18390,22908
10/08/03;dom;16537,81775
11/08/03;seg;19783,63333
12/08/03;ter;20472,49938
13/08/03;qua;20388,96281
14/08/03;qui;20433,37968
15/08/03;sex;18259,7289
16/08/03;sab;18086,64418
17/08/03;dom;16553,44347
18/08/03;seg;19788,84968
19/08/03;ter;19653,51542
20/08/03;qua;19851,63159
21/08/03;qui;20460,07691
22/08/03;sex;20723,7089
23/08/03;sab;18822,20475
24/08/03;dom;17158,79271
25/08/03;seg;20376,90016
26/08/03;ter;20229,78272
27/08/03;qua;20395,35103
28/08/03;qui;20144,25973
29/08/03;sex;20059,53329
30/08/03;sab;18132,94564
31/08/03;dom;16302,89454
01/09/03;seg;19507,40281
02/09/03;ter;20101,72597
03/09/03;qua;20305,08144
04/09/03;qui;20401,81814
05/09/03;sex;20340,6949
06/09/03;sab;18611,92691
07/09/03;dom;16914,69863
08/09/03;seg;20474,74468
09/09/03;ter;21032,69615
10/09/03;qua;21011,27577
11/09/03;qui;20721,3519
12/09/03;sex;20415,69654
13/09/03;sab;18486,76405
14/09/03;dom;16872,22876
15/09/03;seg;20164,5153
16/09/03;ter;19953,58301
17/09/03;qua;20300,02913
18/09/03;qui;20622,84933
19/09/03;sex;20817,70586
20/09/03;sab;18693,66315
21/09/03;dom;16784,07921
22/09/03;seg;20518,87968
23/09/03;ter;20919,02047
24/09/03;qua;20778,62314
25/09/03;qui;20669,72504
26/09/03;sex;20604,00845
27/09/03;sab;18669,44505
28/09/03;dom;16936,23938
29/09/03;seg;20616,63789
30/09/03;ter;20909,98458
01/10/03;qua;21096,9751
02/10/03;qui;20810,03117
03/10/03;sex;20611,86961
04/10/03;sab;18863,39462
05/10/03;dom;17152,89478
06/10/03;seg;20461,84358
07/10/03;ter;20796,04994
08/10/03;qua;20982,32117
09/10/03;qui;21044,9924
10/10/03;sex;20879,70012
11/10/03;sab;18978,00025
12/10/03;dom;17044,96931
13/10/03;seg;20348,8851
14/10/03;ter;21177,46961
15/10/03;qua;20555,93616
16/10/03;qui;20889,74093
17/10/03;sex;20328,88949
18/10/03;sab;18414,25029
19/10/03;dom;16338,13918
20/10/03;seg;20603,91109
21/10/03;ter;20886,78603
22/10/03;qua;20774,28451
23/10/03;qui;20736,45521
24/10/03;sex;20667,30016
25/10/03;sab;18839,52217
26/10/03;dom;17162,12426
27/10/03;seg;18799,88162
28/10/03;ter;20248,52048
29/10/03;qua;20771,99367
30/10/03;qui;20739,77023
31/10/03;sex;20448,78726
01/11/03;sab;18818,75862
02/11/03;dom;16950,5824
03/11/03;seg;20261,4365
04/11/03;ter;20565,62401
05/11/03;qua;20349,29192
06/11/03;qui;20763,9802
07/11/03;sex;21098,56183
08/11/03;sab;19009,55218
09/11/03;dom;17006,68639
10/11/03;seg;20196,99037
11/11/03;ter;20838,16133
12/11/03;qua;21139,43635
13/11/03;qui;20925,11179
14/11/03;sex;20748,80106
15/11/03;sab;18145,22708
16/11/03;dom;17142,35727
17/11/03;seg;20321,18765
18/11/03;ter;20687,13908
19/11/03;qua;20713,24116
20/11/03;qui;20638,08514
21/11/03;sex;20673,23165
22/11/03;sab;18957,99823
23/11/03;dom;17042,48032
24/11/03;seg;20227,25706
25/11/03;ter;20761,85921
26/11/03;qua;20926,48963
27/11/03;qui;20927,86856
28/11/03;sex;20844,3706
29/11/03;sab;18893,14261
30/11/03;dom;17234,0546
01/12/03;seg;20534,0497
02/12/03;ter;20805,3566
03/12/03;qua;20973,1274
04/12/03;qui;21092,36218
05/12/03;sex;21222,41063
06/12/03;sab;19381,12148
07/12/03;dom;17599,66198
08/12/03;seg;19107,92322
09/12/03;ter;21072,17165
10/12/03;qua;21137,70924
11/12/03;qui;21256,50802
12/12/03;sex;20808,0672
13/12/03;sab;18684,07433
14/12/03;dom;16737,7234
15/12/03;seg;20000,01843
16/12/03;ter;20558,38701
17/12/03;qua;20757,09296
18/12/03;qui;20599,71882
19/12/03;sex;20301,86055
20/12/03;sab;18731,97745
21/12/03;dom;17120,60782
22/12/03;seg;20050,57533
23/12/03;ter;20415,47992
24/12/03;qua;19311,7467
25/12/03;qui;16855,57642
26/12/03;sex;18984,46723
27/12/03;sab;18066,34911
28/12/03;dom;16515,24001
29/12/03;seg;19105,28991
30/12/03;ter;19775,77324
31/12/03;qua;19168,25766
01/01/04;qui;16849,04417
02/01/04;sex;18457,46306
03/01/04;sab;18163,88918
04/01/04;dom;17094,75663
05/01/04;seg;19985,00483
06/01/04;ter;20625,52713
07/01/04;qua;18439,76665
08/01/04;qui;21026,97838
09/01/04;sex;20759,34777
10/01/04;sab;19220,12679
11/01/04;dom;17341,02401
12/01/04;seg;20111,95774
13/01/04;ter;20293,32802
14/01/04;qua;19946,81822
15/01/04;qui;20336,30824
16/01/04;sex;20371,96417
17/01/04;sab;17711,09482
18/01/04;dom;16109,17983
19/01/04;seg;19630,51221
20/01/04;ter;20109,02691
21/01/04;qua;18902,19046
22/01/04;qui;20261,7738
23/01/04;sex;19823,42799
24/01/04;sab;17735,94563
25/01/04;dom;16298,13856
26/01/04;seg;19736,89925
27/01/04;ter;20346,08297
28/01/04;qua;20417,15711
29/01/04;qui;19800,23407
30/01/04;sex;19043,40506
31/01/04;sab;17674,67294
01/02/04;dom;16096,92477
02/02/04;seg;19167,76159
03/02/04;ter;19523,30121
04/02/04;qua;18961,44037
05/02/04;qui;18891,32866
06/02/04;sex;19115,31827
07/02/04;sab;17407,02976
08/02/04;dom;15630,66404
09/02/04;seg;18471,68724
10/02/04;ter;19274,89553
11/02/04;qua;19619,21237
12/02/04;qui;19669,61523
13/02/04;sex;19712,24322
14/02/04;sab;18769,11338
15/02/04;dom;15805,57379
16/02/04;seg;18941,21624
17/02/04;ter;19617,16286
18/02/04;qua;19725,77424
19/02/04;qui;19610,31589
20/02/04;sex;19333,98206
21/02/04;sab;17811,54496
22/02/04;dom;15898,84267
23/02/04;seg;16894,47412
24/02/04;ter;16203,48582
25/02/04;qua;18188,62983
26/02/04;qui;19256,28948
27/02/04;sex;19023,34616
28/02/04;sab;17856,56876
29/02/04;dom;16398,48775
01/03/04;seg;19243,36119
02/03/04;ter;20040,01448
03/03/04;qua;20493,24911
04/03/04;qui;20424,67755
05/03/04;sex;20080,89579
06/03/04;sab;18118,21955
07/03/04;dom;16425,98875
08/03/04;seg;19539,95641
09/03/04;ter;19665,21601
10/03/04;qua;19648,035
11/03/04;qui;19957,22701
12/03/04;sex;20000,20537
13/03/04;sab;18016,60916
14/03/04;dom;16550,16186
15/03/04;seg;19557,32701
16/03/04;ter;19907,09281
17/03/04;qua;19538,56382
18/03/04;qui;19273,34878
19/03/04;sex;19482,17558
20/03/04;sab;18055,5145
21/03/04;dom;16670,68638
22/03/04;seg;19802,25757
23/03/04;ter;19623,95712
24/03/04;qua;19764,11056
25/03/04;qui;19682,28987
26/03/04;sex;19180,4794
27/03/04;sab;17623,59418
28/03/04;dom;16194,22427
29/03/04;seg;18722,59384
30/03/04;ter;19498,31895
31/03/04;qua;19816,25344
01/04/04;qui;20749,53276
02/04/04;sex;20677,33932
03/04/04;sab;19320,00718
04/04/04;dom;17620,23149
05/04/04;seg;20952,65421
06/04/04;ter;21106,8515
07/04/04;qua;20472,28779
08/04/04;qui;19567,51135
09/04/04;sex;16575,69819
10/04/04;sab;18006,98926
11/04/04;dom;17040,12907
12/04/04;seg;20054,0485
13/04/04;ter;11130,21004
14/04/04;qua;11469,30576
15/04/04;qui;20427,72366
16/04/04;sex;20728,9061
17/04/04;sab;19055,84114
18/04/04;dom;17073,54578
19/04/04;seg;20639,67653
20/04/04;ter;20882,87777
21/04/04;qua;18160,15912
22/04/04;qui;21297,76267
23/04/04;sex;20988,74113
24/04/04;sab;18961,42307
25/04/04;dom;16994,05584
26/04/04;seg;20285,9259
27/04/04;ter;20639,39964
28/04/04;qua;21325,52947
29/04/04;qui;21326,86742
30/04/04;sex;21405,72835
01/05/04;sab;17913,82252
02/05/04;dom;17074,86337
03/05/04;seg;20589,82794
04/05/04;ter;20634,50287
05/05/04;qua;20673,84396
06/05/04;qui;20849,90829
07/05/04;sex;20694,93726
08/05/04;sab;18737,42291
09/05/04;dom;16852,79395
10/05/04;seg;20430,40691
11/05/04;ter;21222,62879
12/05/04;qua;21439,02558
13/05/04;qui;21453,37487
14/05/04;sex;21597,94398
15/05/04;sab;19825,87906
16/05/04;dom;17914,03512
17/05/04;seg;21437,58756
18/05/04;ter;21740,62163
19/05/04;qua;21639,23384
20/05/04;qui;21643,63821
21/05/04;sex;20937,71958
22/05/04;sab;19154,30958
23/05/04;dom;17455,40241
24/05/04;seg;20938,61777
25/05/04;ter;21276,10483
26/05/04;qua;21472,97584
27/05/04;qui;21674,86621
28/05/04;sex;21001,71415
29/05/04;sab;18790,15909
30/05/04;dom;16959,65714
31/05/04;seg;20421,40278
01/06/04;ter;20782,804
02/06/04;qua;21204,51883
03/06/04;qui;21033,89106
04/06/04;sex;21249,19487
05/06/04;sab;19207,05084
06/06/04;dom;17159,15292
07/06/04;seg;20565,81836
08/06/04;ter;21074,87701
09/06/04;qua;21008,40134
10/06/04;qui;17773,64152
11/06/04;sex;20391,83339
12/06/04;sab;19177,75364
13/06/04;dom;17411,6402
14/06/04;seg;20542,83125
15/06/04;ter;20843,44101
16/06/04;qua;20956,54725
17/06/04;qui;21026,30879
18/06/04;sex;20866,68076
19/06/04;sab;18917,17477
20/06/04;dom;17182,88094
21/06/04;seg;20642,82873
22/06/04;ter;20738,35522
23/06/04;qua;20995,1497
24/06/04;qui;21514,05695
25/06/04;sex;21276,65505
26/06/04;sab;19241,66112
27/06/04;dom;17139,8091
28/06/04;seg;20673,22208
29/06/04;ter;21004,4929
30/06/04;qua;20980,06561
01/07/04;qui;20905,62182
02/07/04;sex;20724,68114
03/07/04;sab;18784,77168
04/07/04;dom;17240,46688
05/07/04;seg;20216,22337
06/07/04;ter;20885,55684
07/07/04;qua;20872,75003
08/07/04;qui;20562,17972
09/07/04;sex;20307,58317
10/07/04;sab;18612,82011
11/07/04;dom;17055,57909
12/07/04;seg;20440,94872
13/07/04;ter;20945,81309
14/07/04;qua;21116,6198
15/07/04;qui;20823,45667
16/07/04;sex;20368,30341
17/07/04;sab;18342,86475
18/07/04;dom;16141,08925
19/07/04;seg;19198,44502
